Fecha,Departamento_DelitoSexual,Municipio_DelitoSexual,Dia,Hora,Barrio,Zona,Clase_de_sitio,Arma_empleada,Movil Agresor,Movil Victima,Edad,Sexo,Estado_civil,Pais_de_nacimiento,Clase_de_empleado,Profesion,Escolaridad,Codigo_DANE,Delitos_Sexuales
01/01/2018 12:00:00 AM,ANTIOQUIA,MEDELLIN (CT),Lunes,12/31/1899 10:50:00 AM,BELEN C-16,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,32,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,-,PRIMARIA,5001000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,MEDELLIN (CT),Lunes,12/31/1899 06:30:00 PM,VILLA TINA C-8,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,36,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,5001000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,MEDELLIN (CT),Lunes,12/31/1899 01:30:00 PM,PARQUE NORTE C-4,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,65,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,5001000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,MEDELLIN (CT),Lunes,12/31/1899 04:50:00 PM,MANRIQUE CENTRAL No. 2  C-3,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,14,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,5001000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,MEDELLIN (CT),Lunes,12/31/1899 08:00:00 PM,CAMPO VALDES 1  C-4,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,12,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,5001000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,MEDELLIN (CT),Lunes,12/31/1899 06:00:00 PM,MANRIQUE CENTRAL No. 2  C-3,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,8,MASCULINO,SOLTERO,-,EMPLEADO PARTICULAR,-,PRIMARIA,5001000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,MEDELLIN (CT),Lunes,12/31/1899 10:15:00 PM,PICACHO C-6,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,13,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,PRIMARIA,5001000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,MEDELLIN (CT),Lunes,12/31/1899 06:35:00 PM,ROBLEDO C-7,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,9,MASCULINO,SOLTERO,-,EMPLEADO PARTICULAR,-,PRIMARIA,5001000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,MEDELLIN (CT),Lunes,12/31/1899 02:20:00 PM,CAMPO VALDES 2 C-3,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,8,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,PRIMARIA,5001000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,MEDELLIN (CT),Lunes,12/31/1899 10:45:00 PM,ALTAVISTA C-16,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,13,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,SECUNDARIA,5001000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,MEDELLIN (CT),Lunes,12/31/1899 10:25:00 PM,LA COLINA C-15,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,8,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,PRIMARIA,5001000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,MEDELLIN (CT),Lunes,12/31/1899 01:15:00 AM,MANILA C-14,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,14,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,SECUNDARIA,5001000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,MEDELLIN (CT),Lunes,12/31/1899 07:00:00 PM,POPULAR 1 C-1,URBANA,CASAS DE HABITACION,NO REPORTADO,A PIE,A PIE,6,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,5001000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,MEDELLIN (CT),Lunes,12/31/1899 08:30:00 PM,GRANIZAL C-1,URBANA,RED VIRTUAL O INTERNET,SIN EMPLEO DE ARMAS,A PIE,A PIE,11,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,PRIMARIA,5001000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,MEDELLIN (CT),Lunes,12/31/1899 09:45:00 PM,GERONA  C-9,URBANA,RED VIRTUAL O INTERNET,NO REPORTADO,A PIE,A PIE,12,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,5001000,2
01/01/2018 12:00:00 AM,ANTIOQUIA,PUERTO BERRIO,Lunes,12/31/1899 04:30:00 AM,EL PENCIL,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,6,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,5579000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,SALGAR,Lunes,12/31/1899 04:30:00 AM,LA CHUCHITA,RURAL,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,6,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,PRIMARIA,5642000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,SALGAR,Lunes,12/31/1899 06:00:00 AM,LA SIBERIA,RURAL,TIENDA,NO REPORTADO,A PIE,A PIE,52,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,-,PRIMARIA,5642000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,SANTAFE DE ANTIOQUIA,Lunes,12/31/1899 01:00:00 PM,LA CORDILLERA,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,15,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,5042000,1
01/01/2018 12:00:00 AM,ARAUCA,ARAUCA (CT),Lunes,12/31/1899 11:20:00 AM,LAS AMERICAS,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,18,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,81001000,1
01/01/2018 12:00:00 AM,ARAUCA,ARAUCA (CT),Lunes,12/31/1899 04:00:00 PM,PORVENIR,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,14,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,81001000,1
01/01/2018 12:00:00 AM,ATLANTICO,BARANOA,Lunes,12/31/1899 12:00:00 AM,INVASION LAS AMERICAS,URBANA,VIAS PUBLICAS,ESCOPOLAMINA,A PIE,A PIE,18,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,-,PRIMARIA,8078000,1
01/01/2018 12:00:00 AM,ATLANTICO,BARRANQUILLA (CT),Lunes,12/31/1899 09:00:00 AM,LAS TORRES,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,15,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,SECUNDARIA,8001000,1
01/01/2018 12:00:00 AM,ATLANTICO,JUAN DE ACOSTA,Lunes,12/31/1899 12:00:00 AM,BUENOS AIRES,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,18,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,-,PRIMARIA,8372000,1
01/01/2018 12:00:00 AM,ATLANTICO,LURUACO,Lunes,12/31/1899 12:00:00 AM,ARROYO DE PIEDRA,URBANA,VIAS PUBLICAS,ESCOPOLAMINA,A PIE,A PIE,28,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,-,PRIMARIA,8421000,1
01/01/2018 12:00:00 AM,ATLANTICO,PUERTO COLOMBIA,Lunes,12/31/1899 02:00:00 PM,VILLA CAMPESTRE,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,6,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,PRIMARIA,8573000,1
01/01/2018 12:00:00 AM,BOLIVAR,CANTAGALLO,Lunes,12/31/1899 06:00:00 PM,CGTO. BRISAS DE BOLIVAR,RURAL,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,6,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,13160000,1
01/01/2018 12:00:00 AM,BOLIVAR,CARTAGENA (CT),Lunes,12/31/1899 08:00:00 AM,NELSON MANDELA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,11,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,13001000,1
01/01/2018 12:00:00 AM,BOLIVAR,CARTAGENA (CT),Lunes,12/31/1899 10:10:00 PM,BAZURTO,URBANA,VIAS PUBLICAS,ESCOPOLAMINA,A PIE,A PIE,18,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,13001000,1
01/01/2018 12:00:00 AM,BOLIVAR,CARTAGENA (CT),Lunes,12/31/1899 11:13:00 AM,PABLO VI 1,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,18,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,13001000,1
01/01/2018 12:00:00 AM,BOLIVAR,MAGANGUE,Lunes,12/31/1899 12:00:00 AM,CORREG. DE COYONGAL,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,-,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,13430000,1
01/01/2018 12:00:00 AM,BOLIVAR,MARIA LA BAJA,Lunes,12/31/1899 12:00:00 AM,SECTOR EL CENTRO,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,16,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,-,PRIMARIA,13442000,1
01/01/2018 12:00:00 AM,BOLIVAR,SANTA ROSA DEL SUR,Lunes,12/31/1899 08:00:00 PM,URB. LAS VILLAS,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,11,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,13688000,1
01/01/2018 12:00:00 AM,BOYACA,FLORESTA,Lunes,12/31/1899 02:00:00 PM,VDA. SALITRE,RURAL,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,10,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,PRIMARIA,15276000,1
01/01/2018 12:00:00 AM,BOYACA,PAIPA,Lunes,12/31/1899 10:00:00 AM,LAS DELICIAS,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,12,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,PRIMARIA,15516000,1
01/01/2018 12:00:00 AM,BOYACA,TUNJA (CT),Lunes,12/31/1899 08:00:00 AM,VDA. PIRGUA,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,13,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,15001000,1
01/01/2018 12:00:00 AM,BOYACA,TUNJA (CT),Lunes,12/31/1899 04:00:00 PM,BARRIO BELLO HORIZONTE,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,1,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,ANALFABETA,15001000,1
01/01/2018 12:00:00 AM,BOYACA,TUNJA (CT),Lunes,12/31/1899 04:00:00 PM,BARRIO BELLO HORIZONTE,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,3,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,ANALFABETA,15001000,1
01/01/2018 12:00:00 AM,BOYACA,TURMEQUE,Lunes,12/31/1899 12:00:00 AM,VDA. ROSALES,RURAL,FINCAS Y SIMILARES,SIN EMPLEO DE ARMAS,A PIE,A PIE,8,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,PRIMARIA,15835000,1
01/01/2018 12:00:00 AM,CALDAS,ANSERMA,Lunes,12/31/1899 12:00:00 AM,SECTOR BOQUERON,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,9,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,PRIMARIA,17042000,1
01/01/2018 12:00:00 AM,CALDAS,MANIZALES (CT),Lunes,12/31/1899 12:00:00 AM,BARRIO CHIPRE,URBANA,LUGAR DE TRABAJO,NO REPORTADO,A PIE,A PIE,35,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,17001000,1
01/01/2018 12:00:00 AM,CALDAS,MANIZALES (CT),Lunes,12/31/1899 12:00:00 AM,BARRIO CHIPRE,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,12,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,17001000,1
01/01/2018 12:00:00 AM,CALDAS,MANIZALES (CT),Lunes,12/31/1899 08:00:00 PM,COMUNEROS,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,12,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,17001000,1
01/01/2018 12:00:00 AM,CALDAS,MANIZALES (CT),Lunes,12/31/1899 04:00:00 PM,BARRIO CHIPRE,URBANA,OTRO,NO REPORTADO,A PIE,A PIE,12,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,PRIMARIA,17001000,1
01/01/2018 12:00:00 AM,CALDAS,VILLAMARIA,Lunes,12/31/1899 12:00:00 AM,LA PRADERA,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,14,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,17873000,1
01/01/2018 12:00:00 AM,CAQUETA,FLORENCIA (CT),Lunes,12/31/1899 12:00:00 AM,PIEDRAHITA,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,13,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,SECUNDARIA,18001000,1
01/01/2018 12:00:00 AM,CAQUETA,FLORENCIA (CT),Lunes,12/31/1899 12:00:00 AM,SANTA INES,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,12,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,PRIMARIA,18001000,1
01/01/2018 12:00:00 AM,CAQUETA,SAN VICENTE DEL CAGUAN,Lunes,12/31/1899 12:00:00 AM,VDA. LAS DAMAS,RURAL,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,9,FEMENINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,ANALFABETA,18753000,1
01/01/2018 12:00:00 AM,CAUCA,GUACHENE,Lunes,12/31/1899 08:00:00 PM,VDA LA CABAÑITA,RURAL,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,26,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SUPERIOR,19300000,1
01/01/2018 12:00:00 AM,CAUCA,GUACHENE,Lunes,12/31/1899 10:30:00 PM,VDA OBANDO,RURAL,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,20,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SUPERIOR,19300000,1
01/01/2018 12:00:00 AM,CAUCA,POPAYAN (CT),Lunes,12/31/1899 12:00:00 AM,CHAPINERO,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,17,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,19001000,1
01/01/2018 12:00:00 AM,CAUCA,POPAYAN (CT),Lunes,12/31/1899 09:00:00 PM,LAS VEGAS,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,27,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,19001000,1
01/01/2018 12:00:00 AM,CAUCA,POPAYAN (CT),Lunes,12/31/1899 12:00:00 AM,LA PAZ,URBANA,"COLEGIOS, ESCUELAS",CONTUNDENTES,A PIE,A PIE,15,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,19001000,1
01/01/2018 12:00:00 AM,CAUCA,POPAYAN (CT),Lunes,12/31/1899 12:00:00 AM,C/MIENTO JULUMITO ALTO,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,15,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,19001000,1
01/01/2018 12:00:00 AM,CAUCA,SANTANDER DE QUILICHAO,Lunes,12/31/1899 08:00:00 AM,PORVENIR,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,36,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,TECNICO EMPRESARIAL,TECNICO,19698000,1
01/01/2018 12:00:00 AM,CAUCA,SANTANDER DE QUILICHAO,Lunes,12/31/1899 07:00:00 AM,VDA EL LLANITO,RURAL,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,21,FEMENINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,19698000,1
01/01/2018 12:00:00 AM,CESAR,BOSCONIA,Lunes,12/31/1899 04:30:00 PM,JORGE ELIECER GAITAN,URBANA,CASAS DE HABITACION,ESCOPOLAMINA,A PIE,A PIE,13,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,20060000,1
01/01/2018 12:00:00 AM,CESAR,VALLEDUPAR (CT),Lunes,12/31/1899 12:00:00 AM,12 DE OCTUBRE,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,5,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,20001000,1
01/01/2018 12:00:00 AM,CESAR,VALLEDUPAR (CT),Lunes,12/31/1899 12:00:00 AM,12 DE OCTUBRE,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,21,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,20001000,1
01/01/2018 12:00:00 AM,CHOCO,BAHIA SOLANO,Lunes,12/31/1899 02:00:00 AM,BUENOS AIRES,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,32,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,27075000,1
01/01/2018 12:00:00 AM,CHOCO,NOVITA,Lunes,12/31/1899 12:00:00 AM,CAMELLON,URBANA,LUGAR DE TRABAJO,NO REPORTADO,A PIE,A PIE,12,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,27491000,1
01/01/2018 12:00:00 AM,CHOCO,QUIBDO (CT),Lunes,12/31/1899 12:00:00 AM,EL JARDIN,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,3,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,ANALFABETA,27001000,1
01/01/2018 12:00:00 AM,CHOCO,QUIBDO (CT),Lunes,12/31/1899 03:00:00 PM,SAN VICENTE,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,10,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,27001000,1
01/01/2018 12:00:00 AM,CORDOBA,CERETE,Lunes,12/31/1899 08:00:00 PM,MANGUELITO,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,15,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,23162000,1
01/01/2018 12:00:00 AM,CORDOBA,MONTELIBANO,Lunes,12/31/1899 12:00:00 AM,SAN BERNARDO,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,5,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,ANALFABETA,23466000,1
01/01/2018 12:00:00 AM,CORDOBA,MONTERIA (CT),Lunes,12/31/1899 10:00:00 PM,LA CANDELARIA,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,35,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,23001000,1
01/01/2018 12:00:00 AM,CORDOBA,SAN JOSE DE URE,Lunes,12/31/1899 12:00:00 AM,CENTRO,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,13,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,SECUNDARIA,23682000,1
01/01/2018 12:00:00 AM,CORDOBA,TIERRALTA,Lunes,12/31/1899 04:30:00 AM,SAN CARLOS,URBANA,TERMINAL DE TRANSPORTES,ARMA DE FUEGO,A PIE,A PIE,18,FEMENINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,23807000,1
01/01/2018 12:00:00 AM,CORDOBA,TIERRALTA,Lunes,12/31/1899 10:00:00 AM,VEREDA SANTA ANA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,11,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,PRIMARIA,23807000,1
01/01/2018 12:00:00 AM,CORDOBA,TUCHIN,Lunes,12/31/1899 03:00:00 PM,VEREDA MATA DE CAÑA,RURAL,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,14,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,SECUNDARIA,23815000,1
01/01/2018 12:00:00 AM,CUNDINAMARCA,BOGOTA D.C. (CT),Lunes,12/31/1899 04:00:00 AM,BRAVO PAEZ E-18,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,15,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,11001000,1
01/01/2018 12:00:00 AM,CUNDINAMARCA,BOGOTA D.C. (CT),Lunes,12/31/1899 04:00:00 AM,URB. CATALINA E-8,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,38,FEMENINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,11001000,1
01/01/2018 12:00:00 AM,CUNDINAMARCA,BOGOTA D.C. (CT),Lunes,12/31/1899 07:50:00 PM,TURBAY AYALA E-3,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,A PIE,A PIE,21,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,11001000,1
01/01/2018 12:00:00 AM,CUNDINAMARCA,BOGOTA D.C. (CT),Lunes,12/31/1899 12:00:00 AM,LA AURORA I SECTOR E-5,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,13,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,11001000,1
01/01/2018 12:00:00 AM,CUNDINAMARCA,BOGOTA D.C. (CT),Lunes,12/31/1899 09:00:00 PM,PATIO BONITO I E-8,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,9,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,11001000,1
